order_id,product_id,customer_id,quantity,price,total_amount,unit_price,discount_pct,promotion_flag,anomaly_flag
O04605,P047,C0073,4,767.31,3069.24,767.31,5,0,0
O04838,P090,C0443,2,9124.73,18249.46,9124.73,0,0,0
O00255,P054,C0270,3,23445.44,70336.32,23445.440000000002,10,0,0
O00286,P028,C0257,2,3926.29,7852.58,3926.29,15,1,0
O00990,P034,C0057,3,25151.98,75455.94,25151.98,5,0,0
O01232,P063,C0315,2,578.36,1156.72,578.36,10,0,0
O02195,P003,C0419,25,199.75,4993.75,199.75,0,0,1
O02608,P042,C0070,1,1723.26,1723.26,1723.26,20,1,0
O02890,P023,C0251,1,9489.47,9489.47,9489.47,10,0,0
O03165,P083,C0031,1,2236.51,2236.51,2236.51,15,1,1
O03249,P015,C0278,1,1435.07,1435.07,1435.07,10,0,0
O03539,P091,C0341,2,37679.79,75359.58,37679.79,30,1,0
O03724,P021,C0426,1,14938.42,14938.42,14938.42,0,0,0
O04738,P049,C0498,36,2262.11,81435.96,2262.11,15,1,1
O04762,P064,C0370,1,3210.55,3210.55,3210.55,15,1,0
O04966,P076,C0106,3,6542.32,19626.96,6542.32,0,0,0
O00386,P071,C0182,2,1114.91,2229.82,1114.91,30,1,0
O01383,P042,C0096,2,1627.34,3254.68,1627.34,25,1,0
O02005,P085,C0230,4,6208.25,24833.0,6208.25,0,0,0
O02149,P055,C0147,1,1051.99,1051.99,1051.99,25,1,1
O02673,P050,C0104,1,599.57,599.57,599.57,0,0,0
O02905,P087,C0163,1,662.75,662.75,662.75,20,1,0
O03063,P075,C0445,3,15208.75,45626.25,15208.75,10,0,0
O03244,P082,C0458,1,5102.92,5102.92,5102.92,10,0,0
O03428,P091,C0469,2,53705.43,107410.86,53705.43,0,0,0
O03552,P071,C0088,1,1590.77,1590.77,1590.77,0,0,0
O03761,P085,C0076,1,22192.68,22192.68,22192.68,5,0,1
O03806,P070,C0379,3,860.7,2582.1,860.6999999999999,15,1,0
O03821,P030,C0168,2,2202.15,4404.3,2202.15,20,1,0
O04249,P042,C0339,2,1727.93,3455.86,1727.93,20,1,0
O00114,P030,C0403,3,2684.86,8054.58,2684.86,0,0,0
O00654,P093,C0168,1,308.3,308.3,308.3,0,0,0
O01063,P091,C0291,1,46933.08,46933.08,46933.08,15,1,0
O01184,P030,C0408,2,2585.83,5171.66,2585.83,5,0,0
O01257,P014,C0403,2,10807.01,21614.02,10807.01,20,1,0
O02010,P096,C0480,1,1788.13,1788.13,1788.13,10,0,0
O03142,P010,C0069,2,1998.08,3996.16,1998.08,0,0,0
O03227,P027,C0394,4,2476.43,9905.72,2476.43,10,0,0
O03493,P072,C0434,1,1418.53,1418.53,1418.53,20,1,0
O04300,P039,C0095,2,124.7,249.4,124.7,5,0,0
O04516,P096,C0359,2,2016.54,4033.08,2016.54,0,0,0
O00089,P047,C0098,1,560.25,560.25,560.25,30,1,0
O00343,P026,C0360,3,80.2,240.6,80.2,20,1,0
O00434,P047,C0164,3,671.72,2015.16,671.72,15,1,0
O01157,P005,C0005,2,1368.75,2737.5,1368.75,10,0,0
O02115,P051,C0231,1,284.07,284.07,284.07,0,0,0
O02321,P072,C0084,6,1748.93,10493.58,1748.93,0,0,0
O03291,P041,C0243,2,9829.45,19658.9,9829.45,0,0,0
O00193,P083,C0352,2,653.33,1306.66,653.33,20,1,0
O00219,P035,C0322,3,62.22,186.66,62.22,10,0,0
O00849,P057,C0066,1,3455.59,3455.59,3455.59,0,0,0
O01514,P026,C0041,2,91.8,183.6,91.8,10,0,0
O01963,P025,C0142,2,25405.08,50810.16,25405.08,30,1,0
O02535,P073,C0247,2,1004.08,2008.16,1004.08,5,0,0
O02898,P021,C0051,1,10777.78,10777.78,10777.78,30,1,0
O03178,P007,C0141,2,1209.24,2418.48,1209.24,20,1,0
O03348,P092,C0228,3,247.45,742.35,247.45000000000002,10,0,0
O03392,P033,C0047,2,126.06,252.12,126.06,0,0,0
O03631,P043,C0036,2,6146.2,12292.4,6146.2,5,0,0
O04201,P030,C0486,3,2476.01,7428.03,2476.0099999999998,10,0,0
O04221,P025,C0322,3,32428.57,97285.71,32428.570000000003,10,0,0
O04351,P071,C0104,1,1364.91,1364.91,1364.91,15,1,0
O00002,P067,C0062,1,10267.72,10267.72,10267.72,5,0,0
O00318,P095,C0395,3,3796.6,11389.8,3796.6,20,1,0
O00496,P032,C0056,1,218.88,218.88,218.88,30,1,0
O00555,P068,C0320,1,737.27,737.27,737.27,10,0,0
O00804,P042,C0227,1,1745.0,1745.0,1745.0,20,1,0
O00847,P096,C0139,1,1563.68,1563.68,1563.68,20,1,0
O01216,P049,C0107,2,1190.98,2381.96,1190.98,10,0,0
O01717,P044,C0115,1,1540.33,1540.33,1540.33,10,0,0
O02024,P040,C0451,2,1847.46,3694.92,1847.46,5,0,0
O03359,P096,C0096,2,1653.65,3307.3,1653.65,15,1,0
O03925,P015,C0118,2,1425.86,2851.72,1425.86,10,0,0
O04049,P004,C0098,1,111.97,111.97,111.97,5,0,0
O04440,P027,C0386,3,2194.89,6584.67,2194.89,20,1,0
O00183,P032,C0244,2,299.7,599.4,299.7,5,0,0
O00469,P001,C0114,4,636.38,2545.52,636.38,15,1,0
O00764,P066,C0205,1,11104.29,11104.29,11104.29,20,1,0
O00799,P083,C0140,2,864.43,1728.86,864.43,0,0,0
O00863,P058,C0174,1,758.73,758.73,758.73,15,1,0
O01200,P049,C0255,2,1344.68,2689.36,1344.68,0,0,0
O01294,P045,C0198,2,752.77,1505.54,752.77,10,0,0
O02395,P058,C0066,2,765.88,1531.76,765.88,15,1,0
O02734,P073,C0399,2,1016.34,2032.68,1016.34,5,0,0
O04077,P018,C0426,3,4429.69,13289.07,4429.69,0,0,0
O04188,P066,C0454,4,10698.63,42794.52,10698.63,25,1,0
O04363,P084,C0076,15,42.0,630.0,42.0,80,1,1
O00133,P078,C0122,25,782.62,19565.5,782.62,20,1,1
O00782,P065,C0393,1,163.69,163.69,163.69,10,0,0
O01019,P032,C0319,2,224.58,449.16,224.58,30,1,0
O01129,P029,C0380,1,409.55,409.55,409.55,15,1,0
O01260,P022,C0121,2,1742.63,3485.26,1742.63,15,1,0
O01654,P084,C0424,2,169.21,338.42,169.21,20,1,0
O01888,P012,C0331,3,304.5,913.5,304.5,5,0,0
O02550,P040,C0145,1,1650.71,1650.71,1650.71,15,1,0
O02750,P052,C0038,1,3770.5,3770.5,3770.5,20,1,0
O02853,P085,C0341,3,6096.83,18290.49,6096.830000000001,0,0,0
O02862,P002,C0038,2,4423.03,8846.06,4423.03,20,1,0
O03243,P072,C0177,1,1472.96,1472.96,1472.96,15,1,0
O03372,P003,C0069,2,150.24,300.48,150.24,25,1,0
O04166,P075,C0308,2,13635.12,27270.24,13635.12,20,1,0
O04412,P099,C0073,2,2366.94,4733.88,2366.94,25,1,0
O04473,P085,C0142,2,5779.52,11559.04,5779.52,5,0,0
O04854,P076,C0145,2,5902.31,11804.62,5902.31,10,0,0
O04973,P015,C0314,1,1568.21,1568.21,1568.21,0,0,0
O00715,P034,C0468,2,18906.77,37813.54,18906.77,30,1,0
O00751,P011,C0255,2,567.2,1134.4,567.2,10,0,0
O01617,P051,C0113,3,264.79,794.37,264.79,5,0,0
O01760,P050,C0349,1,515.94,515.94,515.94,10,0,0
O01784,P011,C0014,4,511.21,2044.84,511.21,20,1,0
O02232,P023,C0226,2,8118.13,16236.26,8118.13,20,1,0
O02943,P045,C0447,1,747.45,747.45,747.45,10,0,0
O03169,P059,C0044,1,40122.85,40122.85,40122.85,0,0,0
O03644,P061,C0031,2,8625.88,17251.76,8625.88,10,0,0
O04260,P029,C0083,1,407.52,407.52,407.52,15,1,0
O04284,P044,C0312,1,1721.98,1721.98,1721.98,0,0,0
O04788,P078,C0073,15,196.0,2940.0,196.0,80,1,1
O04936,P055,C0343,1,368.36,368.36,368.36,20,1,0
O00238,P042,C0190,2,2057.85,4115.7,2057.85,5,0,0
O00260,P086,C0332,1,14026.3,14026.3,14026.3,30,1,0
O00372,P044,C0064,2,1632.87,3265.74,1632.87,5,0,0
O00595,P061,C0013,3,9137.29,27411.87,9137.289999999999,5,0,0
O00840,P009,C0042,1,5475.44,5475.44,5475.44,10,0,0
O01190,P085,C0312,4,5791.47,23165.88,5791.47,5,0,0
O01754,P082,C0484,1,5043.33,5043.33,5043.33,10,0,0
O02175,P058,C0483,2,789.93,1579.86,789.93,10,0,0
O02362,P011,C0273,2,515.82,1031.64,515.82,20,1,0
O02561,P078,C0365,1,762.66,762.66,762.66,20,1,0
O03041,P012,C0454,2,288.23,576.46,288.23,5,0,0
O03524,P021,C0242,1,13451.36,13451.36,13451.36,10,0,0
O03572,P042,C0314,2,1828.55,3657.1,1828.55,15,1,0
O03946,P035,C0272,2,56.63,113.26,56.63,20,1,0
O04511,P077,C0182,2,4473.02,8946.04,4473.02,10,0,0
O04577,P057,C0194,3,3062.4,9187.2,3062.4,10,0,0
O00059,P075,C0311,3,17187.0,51561.0,17187.0,0,0,0
O00861,P076,C0163,2,4997.66,9995.32,4997.66,25,1,0
O01289,P041,C0032,1,8213.76,8213.76,8213.76,15,1,0
O01577,P061,C0247,1,9113.8,9113.8,9113.8,5,0,0
O01951,P009,C0080,3,5664.81,16994.43,5664.81,5,0,0
O02533,P040,C0197,3,1820.62,5461.86,1820.62,5,0,0
O03577,P033,C0100,1,121.84,121.84,121.84,5,0,0
O03989,P047,C0183,2,680.27,1360.54,680.27,15,1,0
O04369,P079,C0295,2,290.96,581.92,290.96,15,1,0
O04514,P033,C0014,1,105.49,105.49,105.49,20,1,0
O04754,P046,C0081,3,639.89,1919.67,639.89,25,1,0
O04764,P083,C0287,2,708.42,1416.84,708.42,15,1,0
O04844,P022,C0213,3,1844.7,5534.1,1844.7,10,0,0
O04858,P059,C0446,4,38099.23,152396.92,38099.23,5,0,0
O00458,P077,C0500,1,4946.92,4946.92,4946.92,0,0,0
O00880,P099,C0081,4,2643.02,10572.08,2643.02,15,1,0
O01224,P064,C0483,3,3869.3,11607.9,3869.2999999999997,0,0,0
O01949,P064,C0273,15,1556.0,23340.0,1556.0,60,1,1
O02538,P039,C0225,2,124.49,248.98,124.49,5,0,0
O02591,P060,C0243,1,610.66,610.66,610.66,30,1,0
O02668,P072,C0391,3,1350.29,4050.87,1350.29,20,1,0
O02860,P051,C0456,2,231.55,463.1,231.55,15,1,0
O03688,P024,C0048,1,1814.86,1814.86,1814.86,15,1,0
O03899,P080,C0086,1,19248.43,19248.43,19248.43,0,0,0
O04656,P048,C0380,2,4227.83,8455.66,4227.83,0,0,0
O04709,P045,C0446,2,725.79,1451.58,725.79,15,1,0
O04817,P025,C0303,3,30521.89,91565.67,30521.89,15,1,0
O00240,P016,C0456,2,3972.38,7944.76,3972.38,20,1,0
O01559,P078,C0452,2,941.39,1882.78,941.39,0,0,0
O01856,P086,C0273,2,17487.53,34975.06,17487.53,15,1,0
O02313,P001,C0073,2,725.51,1451.02,725.51,5,0,0
O02560,P034,C0114,1,25292.62,25292.62,25292.62,5,0,0
O02683,P067,C0221,1,10636.77,10636.77,10636.77,0,0,0
O03092,P063,C0020,3,494.06,1482.18,494.06,25,1,0
O03163,P032,C0073,2,289.9,579.8,289.9,5,0,0
O03230,P020,C0368,2,2890.96,5781.92,2890.96,5,0,0
O03442,P065,C0023,1,171.92,171.92,171.92,5,0,0
O03670,P037,C0290,1,324.67,324.67,324.67,5,0,0
O03757,P016,C0488,1,4159.4,4159.4,4159.4,20,1,0
O03776,P072,C0484,2,1619.03,3238.06,1619.03,5,0,0
O03858,P055,C0447,1,426.06,426.06,426.06,10,0,0
O04873,P008,C0250,2,794.09,1588.18,794.09,20,1,0
O00236,P047,C0194,2,608.49,1216.98,608.49,25,1,0
O00292,P084,C0048,3,195.82,587.46,195.82000000000002,5,0,0
O01369,P036,C0072,1,9588.66,9588.66,9588.66,5,0,0
O01540,P052,C0456,2,3527.4,7054.8,3527.4,25,1,0
O02231,P100,C0010,1,541.06,541.06,541.06,5,0,0
O02276,P025,C0462,2,31343.74,62687.48,31343.74,15,1,0
O03078,P024,C0112,1,1877.29,1877.29,1877.29,10,0,0
O03500,P024,C0150,2,1908.06,3816.12,1908.06,10,0,0
O03895,P018,C0013,2,4412.15,8824.3,4412.15,0,0,0
O03961,P053,C0067,2,6795.37,13590.74,6795.37,0,0,0
O04523,P041,C0472,1,6725.83,6725.83,6725.83,30,1,0
O04561,P002,C0070,1,4401.0,4401.0,4401.0,25,1,0
O04655,P059,C0138,1,31077.51,31077.51,31077.51,20,1,0
O00038,P095,C0450,2,3916.36,7832.72,3916.36,20,1,0
O00234,P006,C0201,3,5059.12,15177.36,5059.12,15,1,0
O00354,P070,C0070,2,1002.11,2004.22,1002.11,0,0,0
O00503,P064,C0436,4,3486.97,13947.88,3486.97,10,0,0
O00594,P027,C0321,1,2623.64,2623.64,2623.64,5,0,0
O00687,P036,C0259,25,10233.99,255849.75,10233.99,0,0,1
O01165,P064,C0239,2,3025.25,6050.5,3025.25,25,1,0
O01404,P079,C0370,2,309.07,618.14,309.07,10,0,0
O01824,P047,C0243,4,734.76,2939.04,734.76,10,0,0
O01896,P066,C0485,2,13508.87,27017.74,13508.87,0,0,0
O02370,P071,C0055,3,1506.94,4520.82,1506.9399999999998,5,0,0
O02687,P025,C0322,3,36505.05,109515.15,36505.049999999996,0,0,0
O03300,P080,C0102,2,19035.05,38070.1,19035.05,0,0,0
O03592,P082,C0188,21,9940.67,208754.07,9940.67,10,0,1
O03636,P080,C0205,3,14265.51,42796.53,14265.51,25,1,0
O03755,P086,C0005,3,19894.59,59683.77,19894.59,5,0,0
O04199,P093,C0079,2,267.23,534.46,267.23,15,1,0
O04630,P030,C0118,1,2591.07,2591.07,2591.07,5,0,0
O04683,P065,C0375,2,163.0,326.0,163.0,10,0,0
O00005,P090,C0359,3,6791.16,20373.48,6791.16,25,1,0
O00064,P099,C0443,2,2313.03,4626.06,2313.03,25,1,0
O00213,P045,C0363,1,740.63,740.63,740.63,10,0,0
O00576,P063,C0312,1,574.86,574.86,574.86,10,0,0
O01071,P003,C0136,3,193.17,579.51,193.17,5,0,0
O02041,P057,C0214,4,2928.35,11713.4,2928.35,15,1,0
O02129,P044,C0365,2,1191.82,2383.64,1191.82,30,1,0
O03159,P006,C0234,2,5977.49,11954.98,5977.49,0,0,0
O03303,P015,C0426,2,1272.93,2545.86,1272.93,20,1,0
O03330,P085,C0500,1,5973.2,5973.2,5973.2,0,0,0
O04765,P080,C0432,3,18396.76,55190.28,18396.76,0,0,0
O00810,P018,C0138,3,3141.42,9424.26,3141.42,30,1,0
O01164,P024,C0008,2,1896.17,3792.34,1896.17,10,0,0
O01952,P050,C0042,4,438.43,1753.72,438.43,25,1,0
O02480,P063,C0142,1,462.48,462.48,462.48,30,1,0
O03952,P063,C0464,1,624.5,624.5,624.5,5,0,0
O00445,P015,C0194,15,468.0,7020.0,468.0,70,1,1
O00519,P060,C0098,1,823.41,823.41,823.41,5,0,0
O01139,P089,C0138,4,130.63,522.52,130.63,10,0,0
O01264,P058,C0069,1,617.54,617.54,617.54,30,1,0
O01389,P081,C0221,3,10262.95,30788.85,10262.949999999999,20,1,0
O01920,P089,C0443,2,120.16,240.32,120.16,20,1,0
O02083,P072,C0076,2,1406.73,2813.46,1406.73,20,1,0
O03201,P074,C0045,25,2798.7,69967.5,2798.7,5,0,1
O04448,P067,C0322,1,8662.18,8662.18,8662.18,20,1,0
O02705,P035,C0032,1,70.53,70.53,70.53,0,0,0
O02803,P063,C0283,1,610.66,610.66,610.66,5,0,0
O03058,P049,C0429,3,1077.21,3231.63,1077.21,20,1,0
O03083,P080,C0013,3,17235.47,51706.41,17235.47,10,0,0
O03890,P083,C0231,2,836.98,1673.96,836.98,0,0,0
O04008,P015,C0069,2,1263.17,2526.34,1263.17,20,1,0
O04631,P035,C0474,5,52.75,263.75,52.75,25,1,0
O04722,P096,C0321,2,1983.92,3967.84,1983.92,0,0,0
O04863,P083,C0396,4,3398.51,13594.04,3398.51,15,1,1
O00362,P068,C0376,1,594.08,594.08,594.08,30,1,0
O00923,P002,C0469,4,5202.39,20809.56,5202.39,5,0,0
O01786,P039,C0177,3,122.92,368.76,122.92,5,0,0
O02033,P073,C0403,1,786.59,786.59,786.59,25,1,0
O02059,P020,C0081,6,2291.08,13746.48,2291.08,25,1,0
O02108,P064,C0230,3,3558.58,10675.74,3558.58,5,0,0
O02679,P072,C0097,2,1758.46,3516.92,1758.46,0,0,0
O02746,P014,C0436,25,11691.62,292290.5,11691.62,15,1,1
O02833,P074,C0163,2,2328.15,4656.3,2328.15,20,1,0
O03067,P085,C0056,2,5870.01,11740.02,5870.01,5,0,0
O03260,P050,C0490,2,567.72,1135.44,567.72,5,0,0
O03261,P008,C0097,1,757.8,757.8,757.8,25,1,0
O03918,P038,C0088,2,479.01,958.02,479.01,0,0,0
O03959,P054,C0112,4,25214.93,100859.72,25214.93,5,0,0
O03962,P090,C0326,1,7036.14,7036.14,7036.14,25,1,0
O01052,P070,C0393,2,854.87,1709.74,854.87,15,1,0
O01162,P041,C0189,1,9393.48,9393.48,9393.48,5,0,0
O02167,P037,C0115,4,342.49,1369.96,342.49,0,0,0
O02323,P068,C0358,2,835.89,1671.78,835.89,0,0,0
O02353,P063,C0069,2,614.44,1228.88,614.44,5,0,0
O02521,P074,C0250,2,2977.61,5955.22,2977.61,0,0,0
O02557,P017,C0341,2,267.43,534.86,267.43,25,1,0
O02839,P021,C0258,4,12391.55,49566.2,12391.55,15,1,0
O03049,P032,C0409,1,262.65,262.65,262.65,15,1,0
O03199,P060,C0290,1,794.6,794.6,794.6,10,0,0
O03280,P057,C0229,1,2426.15,2426.15,2426.15,30,1,0
O03907,P079,C0403,3,1024.87,3074.61,1024.8700000000001,15,1,1
O04676,P059,C0009,2,33101.78,66203.56,33101.78,15,1,0
O00332,P050,C0118,1,499.14,499.14,499.14,15,1,0
O01821,P052,C0032,2,4293.19,8586.38,4293.19,10,0,0
O01866,P038,C0057,1,492.74,492.74,492.74,0,0,0
O02331,P063,C0203,2,650.52,1301.04,650.52,0,0,0
O03084,P082,C0308,1,5338.64,5338.64,5338.64,5,0,0
O03336,P052,C0454,1,4782.83,4782.83,4782.83,0,0,0
O03626,P041,C0481,2,9966.74,19933.48,9966.74,0,0,0
O04339,P012,C0293,2,286.26,572.52,286.26,10,0,0
O00257,P050,C0404,2,518.63,1037.26,518.63,10,0,0
O00684,P069,C0141,27,802.21,21659.67,802.2099999999999,15,1,1
O00900,P089,C0445,1,125.8,125.8,125.8,15,1,0
O01047,P020,C0364,1,2735.61,2735.61,2735.61,10,0,0
O01183,P099,C0118,2,2526.4,5052.8,2526.4,20,1,0
O01192,P081,C0233,1,12350.3,12350.3,12350.3,5,0,0
O01513,P007,C0486,1,1461.88,1461.88,1461.88,5,0,0
O01586,P049,C0394,1,1030.11,1030.11,1030.11,25,1,0
O01897,P047,C0289,1,757.32,757.32,757.32,5,0,0
O02588,P030,C0193,2,1935.48,3870.96,1935.48,30,1,0
O02985,P095,C0123,1,3439.92,3439.92,3439.92,30,1,0
O03005,P096,C0371,1,1635.74,1635.74,1635.74,15,1,0
O03106,P032,C0271,1,242.26,242.26,242.26,20,1,0
O03747,P007,C0408,2,1573.9,3147.8,1573.9,0,0,0
O01029,P100,C0093,1,481.78,481.78,481.78,15,1,0
O01061,P081,C0235,2,12187.8,24375.6,12187.8,5,0,0
O01124,P068,C0005,1,689.43,689.43,689.43,15,1,0
O01649,P028,C0095,2,3954.63,7909.26,3954.63,15,1,0
O02333,P016,C0189,2,3600.29,7200.58,3600.29,30,1,0
O02447,P100,C0138,2,547.17,1094.34,547.17,5,0,0
O02752,P091,C0452,1,40921.32,40921.32,40921.32,25,1,0
O03198,P013,C0136,2,8922.71,17845.42,8922.71,15,1,0
O03216,P076,C0363,2,13291.42,26582.84,13291.42,30,1,1
O03468,P009,C0393,2,5657.75,11315.5,5657.75,5,0,0
O04578,P086,C0381,1,16949.75,16949.75,16949.75,20,1,0
O04775,P050,C0194,1,582.36,582.36,582.36,0,0,0
O04960,P013,C0084,1,10135.56,10135.56,10135.56,5,0,0
O00432,P053,C0181,1,4713.5,4713.5,4713.5,30,1,0
O01268,P072,C0155,3,1632.41,4897.23,1632.4099999999999,5,0,0
O02525,P018,C0436,4,3043.0,12172.0,3043.0,30,1,0
O02655,P078,C0066,4,957.27,3829.08,957.27,0,0,0
O02858,P004,C0043,1,109.07,109.07,109.07,10,0,0
O02863,P071,C0055,2,1506.43,3012.86,1506.43,5,0,0
O03558,P021,C0341,1,15534.15,15534.15,15534.15,0,0,0
O03744,P034,C0447,2,25237.08,50474.16,25237.08,5,0,0
O04442,P008,C0153,3,866.92,2600.76,866.9200000000001,15,1,0
O04622,P035,C0012,3,58.6,175.8,58.6,15,1,0
O00124,P086,C0228,3,16639.81,49919.43,16639.81,20,1,0
O00228,P100,C0093,1,527.37,527.37,527.37,10,0,0
O00808,P093,C0395,1,299.4,299.4,299.4,5,0,0
O01519,P082,C0068,1,4636.96,4636.96,4636.96,20,1,0
O01692,P001,C0223,15,228.0,3420.0,228.0,70,1,1
O01806,P060,C0339,2,776.12,1552.24,776.12,10,0,0
O02158,P098,C0091,1,249.89,249.89,249.89,5,0,0
O02337,P057,C0196,3,3332.52,9997.56,3332.52,5,0,0
O04899,P055,C0272,3,466.81,1400.43,466.81,0,0,0
O04969,P084,C0332,2,173.92,347.84,173.92,15,1,0
O00326,P070,C0169,2,935.46,1870.92,935.46,5,0,0
O01930,P084,C0244,2,210.07,420.14,210.07,0,0,0
O01987,P025,C0488,3,30525.09,91575.27,30525.09,15,1,0
O02038,P037,C0452,5,329.54,1647.7,329.54,5,0,0
O02328,P023,C0355,1,10255.51,10255.51,10255.51,0,0,0
O02366,P052,C0485,1,4117.16,4117.16,4117.16,10,0,0
O02505,P059,C0226,1,36535.25,36535.25,36535.25,10,0,0
O02755,P041,C0174,2,7033.31,14066.62,7033.31,30,1,0
O02893,P010,C0125,2,1740.83,3481.66,1740.83,10,0,0
O03040,P065,C0065,3,171.21,513.63,171.21,5,0,0
O03171,P029,C0080,4,470.04,1880.16,470.04,0,0,0
O03668,P049,C0218,3,1332.8,3998.4,1332.8,0,0,0
O03840,P010,C0494,1,1488.42,1488.42,1488.42,25,1,0
O03843,P019,C0433,2,813.47,1626.94,813.47,20,1,0
O03978,P021,C0127,2,11348.69,22697.38,11348.69,25,1,0
O04151,P022,C0106,2,1785.47,3570.94,1785.47,15,1,0
O04592,P068,C0422,1,628.03,628.03,628.03,25,1,0
O04915,P049,C0232,1,1081.11,1081.11,1081.11,20,1,0
O00060,P005,C0123,1,1391.07,1391.07,1391.07,10,0,0
O00204,P010,C0012,4,1850.48,7401.92,1850.48,5,0,0
O00346,P028,C0462,2,4400.36,8800.72,4400.36,5,0,0
O00384,P037,C0024,1,343.25,343.25,343.25,0,0,0
O00628,P081,C0230,3,11777.52,35332.56,11777.519999999999,10,0,0
O01105,P050,C0395,2,414.39,828.78,414.39,30,1,0
